degree_variance,avg_shortest_path,R2,box_dimension,graph_id,label
0.666666667,4.99047619,0.974372978,0.977993763,0,0
0.472222222,4.815217391,0.883561032,0.74514417,1,0
1.034482759,5.320197044,0.87715772,1.084307526,2,0
0.454081633,5.285714286,0.96722185,0.811285742,3,0
0.695652174,4.679841897,0.965509605,0.784337346,4,0
0.609467456,6.015384615,0.925204559,0.858879632,5,0
0.461538462,3.538461538,0.97496969,0.587974411,6,0
0.4375,3.291666667,0.918972847,0.726597563,7,0
0.532544379,5.698461538,0.944392779,0.944224715,8,0
0.79,4.121052632,0.971485356,0.915681961,9,0
0.637755102,5.825396825,0.988564496,0.811557037,10,0
0.456747405,4.272058824,0.930753947,0.94602339,11,0
0.6,2.577777778,1,0.263034406,12,0
0.339100346,4.161764706,0.879551699,0.869664513,13,0
0.607700312,4.713978495,0.995188577,0.706043476,14,0
0.514792899,5.356923077,0.988085032,0.632325669,15,0
0.472222222,3.848484848,0.913169809,0.475011911,16,0
0.414151925,6.339784946,0.957968768,0.778744924,17,0
0.620498615,4.192982456,0.869607195,0.886290908,18,0
0.543209877,4,0.839487392,0.856569832,19,0
0.484375,3.958333333,0.979087133,0.709606107,20,0
0.380165289,4.151515152,0.907539537,0.831782492,21,0
0.325802616,7.179802956,0.926190667,0.629092461,22,0
0.670630202,5.128078818,0.851168415,0.814489234,23,0
0.439909297,4.29047619,0.847203183,0.756899327,24,0
0.456747405,7.848484848,0.938744377,0.946497147,25,0
0.376731302,3.976608187,0.974099112,0.6124273,26,0
0.736842105,3.666666667,0.972323136,0.578222542,27,0
0.395061728,4.202614379,0.879551699,0.869664513,28,0
0.734375,3.508333333,0.918972847,0.726597563,29,0
0.454081633,5.283068783,0.918305065,0.872479918,30,0
0.439909297,4.623809524,0.780042106,0.691862635,31,0
0.59,4.042105263,0.91829871,0.712779781,32,0
0.514047867,5.337634409,0.867117902,0.786040059,33,0
0.51303155,5.475783476,0.964920653,0.676493329,34,0
0.763313609,5.403076923,0.95529201,0.811728973,35,0
0.467120181,5.19047619,0.969154997,0.712793894,36,0
0.689655172,5.724137931,0.99016264,0.765499137,37,0
0.56395003,7.114634146,0.922351146,0.765915873,38,0
0.753864447,5.854679803,0.962308229,0.989068609,39,0
0.64,5.14,0.941309231,0.765172043,40,0
0.218836565,6.901849218,0.973961777,0.702052766,41,0
0.514177694,5.106719368,0.711322601,0.825080756,42,0
0.59,4.857894737,0.949347868,0.737668711,43,0
0.588235294,3.882352941,0.933468384,0.610058522,44,0
0.515555556,4.60952381,0.918753771,0.546985789,45,0
0.361111111,8.473015873,0.913981856,0.698788848,46,0
0.289256198,5.077922078,0.938919945,0.849282565,47,0
0.6944,4.643333333,0.879131712,0.687930176,48,0
0.574394464,5.885918004,0.922734332,0.95525555,49,0
0.432098765,4.235294118,0.8888461,0.572210295,50,0
0.562358277,5.095238095,0.951954804,1.002356692,51,0
0.570644719,4.743589744,0.972940856,0.797847284,52,0
0.421487603,4.965367965,0.910885537,0.685371165,53,0
0.320987654,5.185185185,0.930834067,0.668290175,54,0
0.426078972,6.083333333,0.966182945,0.800317678,55,0
