R2,box_dimension,degree_variance,avg_shortest_path,graph_id,label
0.991536366,1.241773698,2.561924268,8.172623403,0,0
0.990728443,1.220018685,1.976331361,9.473146113,1,0
0.996669387,1.14395882,1.969782707,8.849243372,2,0
0.964978325,1.182065803,2.572702332,5.300623053,3,0
0.976022578,1.130366189,2.092614612,5.955152482,4,0
0.96478913,1.675435651,2.251573168,30.89125911,5,0
0.997194108,1.209421406,2.341325194,8.625959227,6,0
0.995384118,1.278726589,2.443865633,8.270084671,7,0
0.977288557,1.321018966,2.8436139,9.834683109,8,0
0.991773586,1.034360064,2.085569525,7.054700047,9,0
0.98045008,1.240567596,2.324909599,8.700037101,10,0
0.98555726,1.207742665,2.494187185,6.274011299,11,0
0.989140848,1.219827264,2.425537919,10.3288444,12,0
0.977405664,1.269782789,2.34292119,7.211609899,13,0
0.987004571,1.119366642,1.74609375,7.730140935,14,0
0.966366687,1.227094868,2.169100948,10.91922571,15,0
0.984356985,1.179668847,2.115338612,8.726896887,16,0
0.990121463,1.186685792,3.075612702,7.43368984,17,0
0.975673724,1.262964494,3.327134775,6.298896247,18,0
0.991457932,1.156206782,2.2839425,10.89781034,19,0
0.973550546,1.753001156,2.330657143,34.48288124,20,0
0.985564929,1.4064243,2.436653088,11.45056399,21,0
0.992221139,1.225221618,2.730138408,7.947301753,22,0
0.983114537,0.970253281,2.787197232,4.447761194,23,0
0.989752369,1.128130882,2.626282199,7.481395708,24,0
0.989359493,1.297684846,2.386851923,8.730772136,25,0
0.98744724,1.259925458,2.676699375,7.635739616,26,0
0.995247059,1.198648636,2.728081245,7.153198806,27,0
0.988650824,1.305992162,3.111201756,7.207833515,28,0
0.99451055,1.181205278,2.465541971,6.847707555,29,0
0.989868604,1.246363163,4.457052239,8.397950222,30,0
0.986344444,1.214845598,2.261485516,7.074069095,31,0
0.982082384,1.331824685,3.042483816,7.571470947,32,0
0.982076106,1.090668929,1.567438017,10.50759651,33,0
0.984125303,1.130665031,2.4095457,8.693708048,34,0
0.985084583,1.169917005,2.448979592,8.824475865,35,0
0.987571413,1.255470318,1.9170419,11.44163838,36,0
0.984407949,1.202094677,1.959135092,9.865575076,37,0
0.989468915,1.1117734,2.409750033,6.731199025,38,0
0.984850917,1.159171165,2.545324468,7.616412294,39,0
0.993690669,1.315300188,2.113998869,8.438308203,40,0
0.98452436,1.265466607,2.049479709,12.92271614,41,0
0.984871643,1.114923762,2.311642661,9.093195521,42,0
0.988768045,1.286186193,2.500992038,7.947520699,43,0
0.996144933,1.164438813,2.258994216,5.825742574,44,0
0.965327456,1.31200409,2.059240531,11.46522776,45,0
0.990113222,1.134818037,2.690243484,7.823733112,46,0
0.985786435,1.257469541,2.082871901,10.92356596,47,0
0.995517395,1.178436246,3.275147929,6.853493125,48,0
0.987668837,1.116534872,2.179930556,6.944735007,49,0
0.988758983,1.20004107,2.181609713,11.15649337,50,0
0.995779251,1.239463138,3.039680079,6.813949146,51,0
0.992914703,1.081558329,2.264921674,6.553911769,52,0
0.986048099,1.244818416,2.452544,10.32565932,53,0
0.988071349,1.388503849,3.250650245,8.227399319,54,0
0.985024796,1.153772906,2.341125389,7.79012563,55,0
0.991786846,1.150073945,2.422401902,9.625327403,56,0
0.98701773,1.168240341,2.371756685,7.674550484,57,0
0.987623195,1.375313292,4.688887888,5.394549522,58,0
